,rank,rank_last_week,weeks_on_list,asterisk,dagger,primary_isbn10,primary_isbn13,publisher,description,price,title,author,contributor,contributor_note,book_image,book_image_width,book_image_height,amazon_product_url,age_group,book_review_link,first_chapter_link,sunday_review_link,article_chapter_link,categories,list_publication_date,month
35,6,15,11,0,0,1984818392,9781984818393,Ballantine,"After returning to her hometown, Olivia McAfee’s son gets accused of killing his crush.",0.00,MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,by Jodi Picoult and Jennifer Finney Boylan,,https://storage.googleapis.com/du-prd/books/images/9781984818386.jpg,328,500,https://www.amazon.com/dp/1984818384?tag=NYTBSREV-20,,,,,,combined-print-and-e-book-fiction,"[2023, 1, 15]",January
36,7,8,51,0,0,1476753180,9781476753188,Atria,"Tate Collins and Miles Archer, an airline pilot, think they can handle a no strings attached arrangement. But they can't.",0.00,UGLY LOVE,Colleen Hoover,by Colleen Hoover,,https://storage.googleapis.com/du-prd/books/images/9781476753195.jpg,128,198,http://www.amazon.com/Ugly-Love-Novel-Colleen-Hoover-ebook/dp/B00HB62MC0?tag=NYTBSREV-20,,,,,,combined-print-and-e-book-fiction,"[2023, 1, 15]",January
37,8,0,3,0,0,0593321200,9780593321201,Knopf,Two friends find their partnership challenged in the world of video game design.,0.00,"TOMORROW, AND TOMORROW, AND TOMORROW",Gabrielle Zevin,by Gabrielle Zevin,,https://storage.googleapis.com/du-prd/books/images/9780593321201.jpg,329,500,https://www.amazon.com/dp/0593321200?tag=NYTBSREV-20,,,,,,combined-print-and-e-book-fiction,"[2023, 1, 15]",January
38,9,5,11,0,0,0385548923,9780385548922,Doubleday,"Two childhood friends follow in their fathers’ footsteps, which puts them on opposite sides of the law.",0.00,THE BOYS FROM BILOXI,John Grisham,by John Grisham,,https://storage.googleapis.com/du-prd/books/images/9780385548922.jpg,329,500,https://www.amazon.com/dp/0385548923?tag=NYTBSREV-20,,,,,,combined-print-and-e-book-fiction,"[2023, 1, 15]",January
39,10,0,6,0,0,0316421464,9780316421461,"Little, Brown",Ballard and Bosch bury old resentments as they go after two killers.,0.00,DESERT STAR,Michael Connelly,by Michael Connelly,,https://storage.googleapis.com/du-prd/books/images/9780316485654.jpg,323,500,https://www.amazon.com/dp/0316485659?tag=NYTBSREV-20,,,,,,combined-print-and-e-book-fiction,"[2023, 1, 15]",January
40,11,11,8,0,0,0593449568,9780593449561,Random House,Musicians from different backgrounds are attracted to each other and a mother flees with her son from an abusive husband.,0.00,DREAMLAND,Nicholas Sparks,by Nicholas Sparks,,https://storage.googleapis.com/du-prd/books/images/9780593449554.jpg,331,500,https://www.amazon.com/dp/059344955X?tag=NYTBSREV-20,,,,,,combined-print-and-e-book-fiction,"[2023, 1, 15]",January
41,12,10,8,0,0,006325199X,9780063251991,Harper,A reimagining of Charles Dickens’s “David Copperfield” set in the mountains of southern Appalachia.,0.00,DEMON COPPERHEAD,Barbara Kingsolver,by Barbara Kingsolver,,https://storage.googleapis.com/du-prd/books/images/9780063251922.jpg,329,500,https://www.amazon.com/dp/0063251922?tag=NYTBSREV-20,,,,,,combined-print-and-e-book-fiction,"[2023, 1, 15]",January
42,13,13,52,0,0,125030170X,9781250301703,Celadon,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.,0.00,THE SILENT PATIENT,Alex Michaelides,by Alex Michaelides,,https://storage.googleapis.com/du-prd/books/images/9781250301697.jpg,326,495,https://www.amazon.com/Silent-Patient-Alex-Michaelides/dp/1250301696?tag=NYTBSREV-20,,,,,,combined-print-and-e-book-fiction,"[2023, 1, 15]",January
43,14,6,17,0,0,1668002175,9781668002179,Scribner,A high school kid inherits a shed that is a portal to another world where good and evil are at war.,0.00,FAIRY TALE,Stephen King,by Stephen King,,https://storage.googleapis.com/du-prd/books/images/9781668002179.jpg,329,500,https://www.amazon.com/dp/1668002175?tag=NYTBSREV-20,,,,,,combined-print-and-e-book-fiction,"[2023, 1, 15]",January
44,15,0,2,0,0,None,9780063294189,Harper Voyager,"In 1828, Robin Swift studies at Oxford University’s Royal Institute of Translation and faces a choice when Britain pursues a war with China.",0.00,BABEL,R.F. Kuang,by R.F. Kuang,,https://storage.googleapis.com/du-prd/books/images/9780063021426.jpg,329,500,https://www.amazon.com/dp/0063021420?tag=NYTBSREV-20,,,,,,combined-print-and-e-book-fiction,"[2023, 1, 15]",January
