,rank,rank_last_week,weeks_on_list,asterisk,dagger,primary_isbn10,primary_isbn13,publisher,description,price,title,author,contributor,contributor_note,book_image,book_image_width,book_image_height,amazon_product_url,age_group,book_review_link,first_chapter_link,sunday_review_link,article_chapter_link,categories,list_publication_date,month
15,1,1,33,0,0,038554734X,9780385547345,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.,0.00,LESSONS IN CHEMISTRY,Bonnie Garmus,by Bonnie Garmus,,https://storage.googleapis.com/du-prd/books/images/9780385547345.jpg,328,500,https://www.amazon.com/dp/038554734X?tag=NYTBSREV-20,,,,,,hardcover-fiction,"[2023, 1, 8]",January
16,2,3,16,0,0,1668002175,9781668002179,Scribner,A high school kid inherits a shed that is a portal to another world where good and evil are at war.,0.00,FAIRY TALE,Stephen King,by Stephen King,,https://storage.googleapis.com/du-prd/books/images/9781668002179.jpg,329,500,https://www.amazon.com/dp/1668002175?tag=NYTBSREV-20,,,,,,hardcover-fiction,"[2023, 1, 8]",January
17,3,2,10,0,0,0385548923,9780385548922,Doubleday,"Two childhood friends follow in their fathers’ footsteps, which puts them on opposite sides of the law.",0.00,THE BOYS FROM BILOXI,John Grisham,by John Grisham,,https://storage.googleapis.com/du-prd/books/images/9780385548922.jpg,329,500,https://www.amazon.com/dp/0385548923?tag=NYTBSREV-20,,,,,,hardcover-fiction,"[2023, 1, 8]",January
18,4,5,14,0,0,059344955X,9780593449554,Random House,Musicians from different backgrounds are attracted to each other and a mother flees with her son from an abusive husband.,0.00,DREAMLAND,Nicholas Sparks,by Nicholas Sparks,,https://storage.googleapis.com/du-prd/books/images/9780593449554.jpg,331,500,https://www.amazon.com/dp/059344955X?tag=NYTBSREV-20,,,,,,hardcover-fiction,"[2023, 1, 8]",January
19,5,4,10,0,0,0063251922,9780063251922,Harper,A reimagining of Charles Dickens’s “David Copperfield” set in the mountains of southern Appalachia.,0.00,DEMON COPPERHEAD,Barbara Kingsolver,by Barbara Kingsolver,,https://storage.googleapis.com/du-prd/books/images/9780063251922.jpg,329,500,https://www.amazon.com/dp/0063251922?tag=NYTBSREV-20,,,,,,hardcover-fiction,"[2023, 1, 8]",January
20,6,6,8,0,0,0316499188,9780316499187,"Little, Brown",Detective Alex Cross and the true-crime author Thomas Tull search for a serial killer known as the Family Man.,0.00,TRIPLE CROSS,James Patterson,by James Patterson,,https://storage.googleapis.com/du-prd/books/images/9780316499187.jpg,331,500,https://www.amazon.com/dp/0316499188?tag=NYTBSREV-20,,,,,,hardcover-fiction,"[2023, 1, 8]",January
21,7,7,12,0,0,1984818384,9781984818386,Ballantine,"After returning to her hometown, Olivia McAfee’s son gets accused of killing his crush.",0.00,MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,by Jodi Picoult and Jennifer Finney Boylan,,https://storage.googleapis.com/du-prd/books/images/9781984818386.jpg,328,500,https://www.amazon.com/dp/1984818384?tag=NYTBSREV-20,,,,,,hardcover-fiction,"[2023, 1, 8]",January
22,8,10,3,0,0,0593422759,9780593422755,Putnam,The 22nd book in the Jack Ryan series. Ryan goes behind the Berlin Wall in 1985 to investigate an East German defector.,0.00,TOM CLANCY: RED WINTER,Marc Cameron,by Marc Cameron,,https://storage.googleapis.com/du-prd/books/images/9780593422755.jpg,332,500,https://www.amazon.com/dp/0593422759?tag=NYTBSREV-20,,,,,,hardcover-fiction,"[2023, 1, 8]",January
23,9,8,4,0,0,1250145295,9781250145291,Minotaur,"The 18th book in the Chief Inspector Gamache series. When an attic room that was sealed off 160 years ago is opened, an old enemy returns.",0.00,A WORLD OF CURIOSITIES,Louise Penny,by Louise Penny,,https://storage.googleapis.com/du-prd/books/images/9781250145291.jpg,329,500,https://www.amazon.com/dp/1250145295?tag=NYTBSREV-20,,,,,,hardcover-fiction,"[2023, 1, 8]",January
24,10,9,13,0,0,0593321200,9780593321201,Knopf,Two friends find their partnership challenged in the world of video game design.,0.00,"TOMORROW, AND TOMORROW, AND TOMORROW",Gabrielle Zevin,by Gabrielle Zevin,,https://storage.googleapis.com/du-prd/books/images/9780593321201.jpg,329,500,https://www.amazon.com/dp/0593321200?tag=NYTBSREV-20,,,,,,hardcover-fiction,"[2023, 1, 8]",January
